eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
198601010005,1986,1,1,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,0,0,3,Bombing/Explosion,,,,,19,Transportation,103.0,Bridge/Car Tunnel,,Bridge,159.0,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,0.0,,0.0,0.0,,0,,,,"Damages: explosion(s), none, devices deactivated before detonation (bridge)",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198601010006,1986,1,1,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,,,,Hillside,159.0,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,0.0,,0.0,0.0,,0,,,,"Damages: explosion, none, device failed to detonate (hillside)",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198601010007,1986,1,1,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,,,,Hillside,159.0,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,0.0,,0.0,0.0,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198601010010,1986,1,1,,0,,159,Peru,3,South America,Huanuco,Huaytuna,-9.823807,-76.684853,1.0,0,,,0,1,1,1.0,2.0,Other Crime Type,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,,Village,159.0,Peru,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,3.0,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Firearm,1.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198601010011,1986,1,1,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,1,0,2,Armed Assault,,,,,2,Government (General),17.0,Head of State,,"Residence, former President Jose Luis Bustamente",159.0,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0.0,,,0,4.0,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198601010012,1986,1,1,,0,,159,Peru,3,South America,Cajamarca,Agua Blanca,-6.465996,-78.94207800000001,1.0,0,,,1,1,1,0.0,,,0.0,1,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Aguas Blancas,"Augustin Rodriguez Vera, governor",159.0,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0.0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198601020001,1986,1,2,,0,,159,Peru,3,South America,Lambayeque,Chiclayo,-6.774056,-79.843559,1.0,0,,,1,1,1,0.0,,,0.0,1,0,5,Hostage Taking (Barricade Incident),,,,,10,Journalists & Media,54.0,Radio Journalist/Staff/Facility,Radio Station,Radio Difusora Comercial Chiclayo,159.0,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0.0,,,0,3.0,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm,0.0,,,0.0,,,1,,,,,1.0,3.0,0.0,0.0,,,,0.0,,,,,,2.0,Hostage(s) released by perpetrators,3.0,,,,,PGIS,0,0,0,0,
198601030001,1986,1,3,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21.0,Government Building/Facility/Office,,Ministry of Fishing,159.0,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,0.0,,0.0,0.0,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198601030002,1986,1,3,,0,,159,Peru,3,South America,Lima,Capillucas,-12.707508,-75.969184,1.0,0,,,1,1,1,0.0,,,1.0,1,0,3,Bombing/Explosion,,,,,21,Utilities,107.0,Electricity,,High tension line tower,159.0,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,0.0,,0.0,0.0,,1,3.0,Minor (likely < $1 million),45000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,"198601030002, 198601030003, 198601030006, 198601030007"
198601030003,1986,1,3,,0,,159,Peru,3,South America,Lima,Capillucas,-12.707508,-75.969184,1.0,0,,,1,1,1,0.0,,,1.0,1,0,3,Bombing/Explosion,,,,,21,Utilities,107.0,Electricity,,High tension line tower,159.0,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,0.0,,0.0,0.0,,1,3.0,Minor (likely < $1 million),45000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,"198601030003, 198601030002, 198601030006, 198601030007"
